"C_MENU,C,1","C_REC,C,1","NAME_REC,C,35","ENDS,L"
"J","I","Автохозяйство МВД РСФСР",ЛОЖЬ
"J","J","""Ростовавтотранс""",ЛОЖЬ
"=",")","Бобруйский ШЗ",ЛОЖЬ
"=","*","Белоцерковский ШЗ",ЛОЖЬ
"=","+","Барнаульский ШЗ",ЛОЖЬ
"=",",","Днепропетровский ШЗ",ЛОЖЬ
"=","-","Красноярский ШЗ",ЛОЖЬ
"=",".","Московский ШЗ",ЛОЖЬ
"=","/","Ярославский ШЗ",ЛОЖЬ
"=","0","Чимкентский ШЗ",ЛОЖЬ
"=","1","Опытный ШЗ",ЛОЖЬ
"/",")","М-151",ЛОЖЬ
"/","*","М-145",ЛОЖЬ
"/","+","БЛ-85",ЛОЖЬ
"/",",","ИД-195",ЛОЖЬ
"/","-","БЦ-220",ЛОЖЬ
"/",".","БЦ-280",ЛОЖЬ
"/","/","ИН-251",ЛОЖЬ
"/","0","БА-85",ЛОЖЬ
"/","1","Я-245",ЛОЖЬ
"/","2","МИ-173",ЛОЖЬ
"/","3","ИЯ-196",ЛОЖЬ
"W",")","6,15х13",ЛОЖЬ
"W","*","6,45х13",ЛОЖЬ
"W","+","165/70х13",ЛОЖЬ
"W",",","7,35х14",ЛОЖЬ
"W","-","205/70х14",ЛОЖЬ
"W",".","205/70х13",ЛОЖЬ
"W","/","175/70х13",ЛОЖЬ
"W","0","8,40х15",ЛОЖЬ
"W","1","220х508",ЛОЖЬ
"W","2","240х508",ЛОЖЬ
"W","3","260х508",ЛОЖЬ
"W","4","1200х18",ЛОЖЬ
"J","K","В/ч 7405",ЛОЖЬ
"J","L","В/ч 3654",ЛОЖЬ
"J","M","В/ч 3658",ЛОЖЬ
"N","V","ГАЗ-31029",ЛОЖЬ
"J","N","Технико-коммерч.центр г.Шахты",ЛОЖЬ
"J","O","Кооп.""АРЗУ""г.Шахты",ЛОЖЬ
"A",")","Бронетехника",ЛОЖЬ
"B","Y","Бронетранспортер",ИСТИНА
"Y","(","БТР-70",ЛОЖЬ
"E","M","Бронетранспортер",ЛОЖЬ
"D","<","контейнеровоз",ЛОЖЬ
"J","P","Обмен с частным лицом",ЛОЖЬ
"J","Q","Ростовский НИИ радиосвязи",ЛОЖЬ
"J","R","Таганрогский комбайновый завод",ЛОЖЬ
"S","*","М-66 б/коляски",ЛОЖЬ
"E","N","Вакуумный",ЛОЖЬ
"J","S","П/О ""Гидроимпульс""г.Псков",ЛОЖЬ
"B","Z","Автофургон для перевозки людей",ИСТИНА
"Z","(","МВГ-2 на базе ГАЗ-6611",ЛОЖЬ
"J","T","УЧ 398/19",ЛОЖЬ
"E","P","ИДН",ЛОЖЬ
"C","<","США",ЛОЖЬ
"J","U","Акционерная фирма ""Фаворит""",ЛОЖЬ
"E","O","Участковые сельской местности",ЛОЖЬ
"E","R","ИИРиТ",ЛОЖЬ
"E","S","ДПС ГАИ",ЛОЖЬ
"J","V","ТОО ""МАЯК""",ЛОЖЬ
"D","=","передвижная АЗС",ЛОЖЬ
"J","W","Грабовский автозавод",ЛОЖЬ
"A","4","Трактор",ЛОЖЬ
