"C_COEF,C,8","C_GR,C,1","COEF,N,10,2","NAME_COEF,C,35"
"Q~E9","B",34,
"QБE/","A",2900,
"QБE/","B",31,
"QБE4","A",2900,
"QБE4","B",33,
"QБE9","A",2080,
"QБE9","B",30,
"QГE9","A",2080,
"QГE9","B",30,
"N7E(","A",4160,
"N7E(","B",11,
"N7E*","A",2900,
"N7E*","B",9,
"N7E+","A",2900,
"N7E+","B",9,
"N8E*","A",2900,
"N8E*","B",9,
"N8E+","A",2900,
"N8E+","B",9,
"ONE*","A",2900,
"ONE*","B","18,5",
"ONE+","A",2900,
"ONE+","B","18,5",
"ONE(","A",4160,
"ONE(","B","18,5",
"N/E(","A",4160,
"N/E(","B","9,5",
"N/E)","A",2080,
"N/E)","B","8,5",
"N/E+","A",2900,
"N/E+","B","9,5",
"N+E)","A",2080,
"N+E)","B",10,
,"I",0,"D:\ASU\DBF\AUTO.DBF"
,"I",0,"D:\ASU\DBF\COLOR.IDX"
,"I",0,"D:\ASU\DBF\YEAR.IDX"
,"I",0,"D:\ASU\DBF\D_PASS.IDX"
,"I",0,"D:\ASU\DBF\DBSIGN.IDX"
,"I",0,"D:\ASU\DBF\GROUP.IDX"
,"I",0,"D:\ASU\DBF\INV.IDX"
,"I",0,"D:\ASU\DBF\TYPE.IDX"
,"I",0,"D:\ASU\DBF\MARK.IDX"
,"I",0,"D:\ASU\DBF\D_EXPL.IDX"
,"I",0,"D:\ASU\DBF\SOUR.IDX"
,"I",0,"D:\ASU\DBF\N_PASS.IDX"
,"I",0,"D:\ASU\DBF\OWNER.IDX"
,"I",0,"D:\ASU\DBF\PLANT.IDX"
,"I",0,"D:\ASU\DBF\SIGN.IDX"
,"J",0,"D:\ASU\DBF\RUNNING.DBF"
,"K",0,"D:\ASU\DBF\CHANGE.DBF"
,"K",0,"D:\ASU\DBF\CH_LONG.DBF"
,"K",0,"D:\ASU\DBF\CH_TIME.DBF"
,"K",0,"D:\ASU\DBF\MENU_CH.DBF"
,"K",0,"D:\ASU\DBF\CH_LONG.IDX"
,"K",0,"D:\ASU\DBF\CHANGE2.IDX"
,"L",0,"D:\ASU\DBF\STRUC.DBF"
,"M",0,"D:\ASU\DBF\MENU.DBF"
,"M",0,"D:\ASU\DBF\C_C.IDX"
,"N",0,"D:\ASU\DBF\NORM.DBF"
,"N",0,"D:\ASU\DBF\COEFGR.IDX"
,"O",0,"D:\ASU\DBF\KARTMAT.DBF"
,"O",0,"D:\ASU\DBF\MATKART.IDX"
,"O",0,"D:\ASU\DBF\MATNOM.IDX"
,"O",0,"D:\ASU\DBF\MATNAME.IDX"
,"P",0,"D:\ASU\DBF\NORM_A.DBF"
,"Q",0,"D:\ASU\DBF\MAT_CH.DBF"
,"Q",0,"D:\ASU\DBF\NKART.IDX"
"N=E*","A",2900,
"N=E*","B",8,
"N=E+","A",2900,
"N=E+","B",9,
"NXE)","A",2080,
"NXE)","B",10,
"N?E)","A",2080,
"N?E)","B","8,5",
"N?E*","A",2900,
"N?E*","B","8,5",
"N?E+","A",2900,
"N?E+","B","8,5",
"N@E)","A",2080,
"N@E)","B",10,
"N@E*","A",2900,
"N@E*","B",11,
"N@E+","A",2900,
"N@E+","B",11,
"NRE)","A",2080,
"NRE)","B","8,5",
"NRE*","A",2900,
"NRE*","B","8,5",
"NnE)","A",2080,
"NnE)","B",7,
"NhE)","A",2080,
"NhE)","B",7,
"Q*E9","A",2080,
"Q*E9","B",30,
"QЙE9","A",2080,
"QЙE9","B",32,
"QE9","A",2080,
"QE9","B",34,
"Q,E9","A",2080,
"Q,E9","B",17,
"QВE9","A",2080,
"QВE9","B",17,
"QАE9","A",2080,
"QАE9","B",17,
"P-E:","A",2080,
"P-E:","B",16,
"PkE:","A",2080,
"PkE:","B",25,
"PeE:","A",2080,
"PeE:","B",23,
"PjE:","A",2080,
"PjE:","B",28,
"PoE:","A",2080,
"PoE:","B",28,
"PzE:","A",2080,
"PzE:","B","25,5",
"PwE:","A",2080,
"PwE:","B",25,
"PxE`","A",2080,
"PxE`","B",25,
"P2E:","A",2080,
"P2E:","B",32,
"PsEU","A",2080,
"PsEU","B",37,
"PtEU","A",2080,
"PtEU","B",37,
"PuEU","A",2080,
"PuEU","B",36,
"PyEU","A",2080,
"PyEU","B",32,
"PqEU","A",2080,
"PqEU","B","36,5",
"NDE)","A",2080,
"NDE)","B",11,
"NDE+","A",2900,
"NDE+","B",13,
"NmE)","A",2080,
"NmE)","B",14,
"PqE`","A",2080,
"PqE`","B","36,5",
"PqE:","A",2080,
"PqE:","B","36,5",
"PyE`","A",2080,
"PyE`","B",34,
"OPE)","A",2080,
"OPE)","B","16,5",
"Y(EM","A",1000,
"Y(EM","B",75,
"Y)EM","A",1000,
"Y)EM","B",65,
"[(E]","A",1000,
"[(E]","B",45,
"N4E)","A",2080,
"N4E)","B","8,5",
"N4E+","A",2900,
"N4E+","B","8,5",
"N:E*","A",2900,
"N:E*","B",8,
"N:E+","A",2900,
"N:E+","B",8,
"N>E)","A",2080,
"N>E)","B",8,
"N>E*","A",2900,
"N>E*","B",8,
"N>E+","A",2900,
"N>E+","B",8,
"NCE)","A",2080,
"NCE)","B",10,
"NCE*","A",2900,
"NCE*","B",10,
"NCE+","A",2900,
"NCE+","B",10,
"NDE*","A",2900,
"NDE*","B",13,
"NEE)","A",2080,
